iter	Passed	Remaining
0	47	47078
1	47	23755
2	48	15966
3	48	12071
4	48	9732
5	49	8176
6	49	7063
7	50	6231
8	50	5580
9	51	5060
10	51	4633
11	52	4288
12	52	3995
13	53	3743
14	54	3552
15	54	3378
16	55	3226
17	56	3081
18	57	2946
19	57	2825
20	58	2711
21	58	2613
22	59	2524
23	60	2440
24	60	2365
25	61	2300
26	62	2245
27	62	2185
28	63	2122
29	63	2063
30	64	2007
31	64	1956
32	65	1913
33	65	1874
34	66	1832
35	67	1796
36	67	1761
37	69	1758
38	71	1751
39	71	1723
40	73	1709
41	73	1683
42	74	1660
43	75	1633
44	75	1608
45	76	1584
46	77	1568
47	77	1543
48	78	1520
49	79	1501
50	79	1479
51	79	1457
52	80	1440
53	81	1423
54	81	1407
55	82	1398
56	84	1393
57	84	1380
58	85	1366
59	86	1354
60	87	1342
61	88	1333
62	88	1321
63	89	1313
64	90	1303
65	91	1289
66	91	1275
67	92	1262
68	92	1249
69	93	1237
70	93	1224
71	94	1212
72	94	1200
73	95	1189
74	95	1178
75	96	1169
76	96	1159
77	98	1168
78	99	1162
79	100	1158
80	101	1151
81	102	1142
82	102	1130
83	102	1121
84	103	1113
85	104	1108
86	105	1106
87	106	1100
88	106	1093
89	107	1085
90	107	1077
91	108	1069
92	108	1061
93	109	1054
94	109	1046
95	110	1043
96	111	1039
97	112	1036
98	113	1032
99	114	1026
100	114	1021
101	115	1015
102	115	1009
103	116	1003
104	117	998
105	117	992
106	119	994
107	120	991
108	120	986
109	121	981
110	121	975
111	122	969
112	122	963
113	123	961
114	124	957
115	125	953
116	125	947
117	126	943
118	126	940
119	127	936
120	128	932
121	129	930
122	129	926
123	130	922
124	131	918
125	132	917
126	133	914
127	133	911
128	135	913
129	135	908
130	136	903
131	136	899
132	137	894
133	137	891
134	138	886
135	138	882
136	139	878
137	140	876
138	141	875
139	142	873
140	143	872
141	143	869
142	144	867
143	145	864
144	146	861
145	146	858
146	147	855
147	148	852
148	148	850
149	149	847
150	150	845
151	150	842
152	151	839
153	152	837
154	153	834
155	153	832
156	154	831
157	155	827
158	155	824
159	156	822
160	157	818
161	157	815
162	158	812
163	158	809
164	159	806
165	159	803
166	160	800
167	160	797
168	161	794
169	163	799
170	164	798
171	165	795
172	165	791
173	166	789
174	166	785
175	168	787
176	169	786
177	169	783
178	170	781
179	171	779
180	171	777
181	172	774
182	173	772
183	173	769
184	174	767
185	174	764
186	175	762
187	175	759
188	177	759
189	178	760
190	178	758
191	179	755
192	180	753
193	180	751
194	181	749
195	182	748
196	183	747
197	184	745
198	184	743
199	185	742
200	186	741
201	187	739
202	187	737
203	188	734
204	188	732
205	189	730
206	190	727
207	190	725
208	191	723
209	191	722
210	192	720
211	193	720
212	194	719
213	195	717
214	195	715
215	196	712
216	196	710
217	197	709
218	198	707
219	198	705
220	199	702
221	200	701
222	200	699
223	201	698
224	202	695
225	202	695
226	204	694
227	205	695
228	206	694
229	207	693
230	207	690
231	207	688
232	208	686
233	208	683
234	209	681
235	209	679
236	210	677
237	210	674
238	211	672
239	211	670
240	212	669
241	213	668
242	213	666
243	214	664
244	215	663
245	216	663
246	217	662
247	217	660
248	218	658
249	219	657
250	220	657
251	221	656
252	222	655
253	222	653
254	222	651
255	223	649
256	223	647
257	224	645
258	224	643
259	225	641
260	225	639
261	226	637
262	227	636
263	227	634
264	228	632
265	228	630
266	229	630
267	230	628
268	230	627
269	231	625
270	231	623
271	232	621
272	232	620
273	233	618
274	234	617
275	234	616
276	235	615
277	236	614
278	237	613
279	238	612
280	238	610
281	239	608
282	239	607
283	240	605
284	240	603
285	241	602
286	242	601
287	242	600
288	243	598
289	243	597
290	244	595
291	245	594
292	245	592
293	246	591
294	246	589
295	247	588
296	248	587
297	249	586
298	250	586
299	250	584
300	251	583
301	251	581
302	251	579
303	252	578
304	253	576
305	253	574
306	253	573
307	255	573
308	255	572
309	257	573
310	258	572
311	259	571
312	259	569
313	260	568
314	260	567
315	261	566
316	262	564
317	262	563
318	263	561
319	263	560
320	264	559
321	265	558
322	265	557
323	266	556
324	267	554
325	267	553
326	268	551
327	268	550
328	268	548
329	269	546
330	269	545
331	270	544
332	271	542
333	271	541
334	272	540
335	273	539
336	273	538
337	274	537
338	275	536
339	275	534
340	276	533
341	276	532
342	277	531
343	277	530
344	278	529
345	279	528
346	280	527
347	280	525
348	281	524
349	281	522
350	281	521
351	282	519
352	282	518
353	283	517
354	283	515
355	284	514
356	284	512
357	285	511
358	285	510
359	286	509
360	286	507
361	287	506
362	288	505
363	288	504
364	289	503
365	290	502
366	290	501
367	291	500
368	291	498
369	292	498
370	293	497
371	294	497
372	295	496
373	295	495
374	296	494
375	296	492
376	297	491
377	297	490
378	298	488
379	299	489
380	300	488
381	301	487
382	302	486
383	302	485
384	303	484
385	303	483
386	304	482
387	305	481
388	305	480
389	306	478
390	306	477
391	307	476
392	308	475
393	308	475
394	309	474
395	310	473
396	310	471
397	311	470
398	311	469
399	311	467
400	312	466
401	312	465
402	313	464
403	313	463
404	314	461
405	315	460
406	316	460
407	317	460
408	318	459
409	318	458
410	319	458
411	320	457
412	320	455
413	321	454
414	321	453
415	322	452
416	322	451
417	323	450
418	324	449
419	324	448
420	325	448
421	326	447
422	327	446
423	327	445
424	328	444
425	329	443
426	329	442
427	331	443
428	332	442
429	333	441
430	333	440
431	334	439
432	334	438
433	335	436
434	335	435
435	336	434
436	336	434
437	337	433
438	338	432
439	338	431
440	339	429
441	339	428
442	340	427
443	340	426
444	340	425
445	341	424
446	341	422
447	342	422
448	343	421
449	343	420
450	344	419
451	345	418
452	345	417
453	346	417
454	347	416
455	348	415
456	348	414
457	349	413
458	350	412
459	350	411
460	351	410
461	352	409
462	352	409
463	353	408
464	353	407
465	354	406
466	354	405
467	355	403
468	355	402
469	356	402
470	357	400
471	357	399
472	358	398
473	358	398
474	359	397
475	360	396
476	360	395
477	361	394
478	361	393
479	362	392
480	363	391
481	363	390
482	364	389
483	364	388
484	365	387
485	365	386
486	366	385
487	367	385
488	368	384
489	368	383
490	369	382
491	369	381
492	370	380
493	370	379
494	371	378
495	371	377
496	372	376
497	372	375
498	373	375
499	374	374
500	375	373
501	376	373
502	376	372
503	377	371
504	378	370
505	378	369
506	379	368
507	379	367
508	380	367
509	381	366
510	381	365
511	382	364
512	383	363
513	383	362
514	384	361
515	384	360
516	384	359
517	385	358
518	386	357
519	386	356
520	387	356
521	387	355
522	388	354
523	389	353
524	389	352
525	390	351
526	391	351
527	391	350
528	392	349
529	392	348
530	393	347
531	393	346
532	394	345
533	395	344
534	395	344
535	396	343
536	397	342
537	398	341
538	398	340
539	398	339
540	399	338
541	399	338
542	400	337
543	401	336
544	401	335
545	402	334
546	403	334
547	403	333
548	404	332
549	405	331
550	405	330
551	406	329
552	406	328
553	407	327
554	407	326
555	408	326
556	408	325
557	409	324
558	409	323
559	410	322
560	411	321
561	412	321
562	412	320
563	413	319
564	413	318
565	414	317
566	414	316
567	415	315
568	416	315
569	416	314
570	417	313
571	418	313
572	419	312
573	419	311
574	420	310
575	420	309
576	421	309
577	422	308
578	422	307
579	423	306
580	423	305
581	423	304
582	424	303
583	425	303
584	426	302
585	427	301
586	427	300
587	427	299
588	428	298
589	428	297
590	429	297
591	429	296
592	430	295
593	430	294
594	431	293
595	431	292
596	432	291
597	433	291
598	433	290
599	434	289
600	434	288
601	435	287
602	435	286
603	436	286
604	437	285
605	438	284
606	438	284
607	439	283
608	440	282
609	441	282
610	441	281
611	442	280
612	443	279
613	443	279
614	444	278
615	444	277
616	445	276
617	445	275
618	446	274
619	447	274
620	447	273
621	448	272
622	448	271
623	449	270
624	449	269
625	450	269
626	451	268
627	451	267
628	452	266
629	453	266
630	453	265
631	454	264
632	454	263
633	455	262
634	456	262
635	456	261
636	457	260
637	457	259
638	458	258
639	458	257
640	459	257
641	459	256
642	460	255
643	460	254
644	461	253
645	461	252
646	462	252
647	462	251
648	463	250
649	463	249
650	464	248
651	464	247
652	465	247
653	465	246
654	465	245
655	466	244
656	466	243
657	467	242
658	467	242
659	468	241
660	469	240
661	470	240
662	471	239
663	471	238
664	472	237
665	472	236
666	473	236
667	473	235
668	474	234
669	474	233
670	475	232
671	475	232
672	476	231
673	477	230
674	477	230
675	478	229
676	478	228
677	479	227
678	480	227
679	480	226
680	481	225
681	482	224
682	482	224
683	483	223
684	483	222
685	484	221
686	486	221
687	486	220
688	487	220
689	487	219
690	488	218
691	488	217
692	489	216
693	490	216
694	490	215
695	491	214
696	492	213
697	492	213
698	493	212
699	494	211
700	494	211
701	495	210
702	496	209
703	496	208
704	497	208
705	497	207
706	498	206
707	499	205
708	500	205
709	500	204
710	501	203
711	502	203
712	502	202
713	503	201
714	504	200
715	504	200
716	505	199
717	506	198
718	506	198
719	507	197
720	508	196
721	508	195
722	509	195
723	509	194
724	510	193
725	511	192
726	511	192
727	512	191
728	512	190
729	517	191
730	518	190
731	519	190
732	520	189
733	522	189
734	523	188
735	523	187
736	524	187
737	525	186
738	527	186
739	528	185
740	529	184
741	529	184
742	530	183
743	530	182
744	531	181
745	531	181
746	532	180
747	533	179
748	533	178
749	534	178
750	536	177
751	537	177
752	537	176
753	538	175
754	539	174
755	539	174
756	540	173
757	541	172
758	542	172
759	542	171
760	543	170
761	543	169
762	543	168
763	544	168
764	545	167
765	546	166
766	546	166
767	547	165
768	548	164
769	549	164
770	551	163
771	553	163
772	554	162
773	556	162
774	558	162
775	560	161
776	561	161
777	564	161
778	568	161
779	569	160
780	569	159
781	570	159
782	571	158
783	571	157
784	572	156
785	573	156
786	574	155
787	574	154
788	584	156
789	587	156
790	589	155
791	590	155
792	591	154
793	592	153
794	593	152
795	593	152
796	594	151
797	594	150
798	595	149
799	595	148
800	596	148
801	596	147
802	597	146
803	597	145
804	598	144
805	603	145
806	604	144
807	604	143
808	605	142
809	606	142
810	607	141
811	607	140
812	607	139
813	608	138
814	608	138
815	609	137
816	609	136
817	609	135
818	610	134
819	610	134
820	611	133
821	612	132
822	613	131
823	613	131
824	613	130
825	614	129
826	615	128
827	615	127
828	616	127
829	616	126
830	616	125
831	617	124
832	617	123
833	618	123
834	619	122
835	621	121
836	622	121
837	622	120
838	623	119
839	624	118
840	625	118
841	626	117
842	626	116
843	627	115
844	628	115
845	628	114
846	629	113
847	630	113
848	632	112
849	633	111
850	633	110
851	634	110
852	635	109
853	636	108
854	636	108
855	637	107
856	637	106
857	638	105
858	638	104
859	639	104
860	639	103
861	640	102
862	640	101
863	641	100
864	641	100
865	642	99
866	642	98
867	644	97
868	644	97
869	648	96
870	649	96
871	650	95
872	651	94
873	652	94
874	652	93
875	653	92
876	653	91
877	654	90
878	655	90
879	656	89
880	657	88
881	658	88
882	659	87
883	660	86
884	661	85
885	661	85
886	662	84
887	663	83
888	664	82
889	666	82
890	668	81
891	669	81
892	671	80
893	671	79
894	672	78
895	673	78
896	673	77
897	674	76
898	675	75
899	676	75
900	676	74
901	677	73
902	677	72
903	678	72
904	679	71
905	679	70
906	680	69
907	681	69
908	681	68
909	682	67
910	683	66
911	683	65
912	684	65
913	685	64
914	685	63
915	686	62
916	686	62
917	687	61
918	689	60
919	689	59
920	690	59
921	690	58
922	691	57
923	691	56
924	692	56
925	692	55
926	693	54
927	693	53
928	694	53
929	695	52
930	695	51
931	696	50
932	697	50
933	697	49
934	698	48
935	698	47
936	700	47
937	701	46
938	701	45
939	702	44
940	703	44
941	704	43
942	704	42
943	705	41
944	705	41
945	706	40
946	707	39
947	707	38
948	708	38
949	708	37
950	709	36
951	710	35
952	711	35
953	711	34
954	712	33
955	713	32
956	713	32
957	714	31
958	715	30
959	715	29
960	717	29
961	717	28
962	719	27
963	719	26
964	720	26
965	720	25
966	721	24
967	722	23
968	723	23
969	724	22
970	725	21
971	725	20
972	726	20
973	727	19
974	728	18
975	728	17
976	729	17
977	730	16
978	730	15
979	732	14
980	733	14
981	733	13
982	734	12
983	734	11
984	735	11
985	735	10
986	736	9
987	736	8
988	737	8
989	737	7
990	738	6
991	738	5
992	739	5
993	740	4
994	740	3
995	741	2
996	741	2
997	742	1
998	743	0
999	745	0
